"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Số Giây xem trung bình","Bình luận","Lượt phân phối","Thu nhập ước tính (USD)","Sao (USD)","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Số Giây xem","Người xem","Lượt xem"
122123980635206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Cùng là U50 nhưng người trẻ như thanh niên, người lại già nua sập sệ?
#chongloahoa
#tiensidanghuuphuc 
#chongviem",173,"05/20/2026 07:10",https://www.facebook.com/reel/3084888611696823/,"Thước phim",,"Trọn đời",28.992,6,-2.3x,0,0,10913,268,10,229,22,20,307350.352,10033,11860
122124025587206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/20/2026 18:47",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid021S1uBeq1s3KHXBBtXaZFJbKAJH7LUFaQGtBmLQAPzL5gtSZgWu7u4WRufXoATaC7l,"Nội dung",,"Trọn đời",,0,--,0,0,674,3,0,3,0,0,,658,1174
122124027147206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí quyết dưỡng da của nhiều ngôi sao mà bạn nên biết #laohoa #chonglaohoa 
#tiensidanghuuphuc #lamdepkhongkho #bacsiphuc",175,"05/20/2026 19:04",https://www.facebook.com/reel/1661624598411801/,"Thước phim",,"Trọn đời",32.936,361,+24.6x,0,0,850798,20441,2181,14336,3797,2580,26916620.53,796885,900408
122124057171206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Một loại dược liệu được mệnh danh là nhân sâm của người Việt, mà không phải ai cũng biết cách dùng đúng.
#laohoa #chonglaohoa 
#tiensidanghuuphuc #bacsiphuc
#tamthat",151,"05/21/2026 02:31",https://www.facebook.com/reel/1747597222899323/,"Thước phim",,"Trọn đời",24.053,0,-16.2x,0,0,2882,71,5,64,8,1,66412.094,2606,3097
122124084015206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Phụ nữ Nhật dùng kem chống nắng từ năm 15 tuổi nhưng phụ nữ Việt thì lại không như thế!
#laohoa #chonglaohoa 
#tiensidanghuuphuc 
#kemchongnang
#chongnang",166,"05/21/2026 06:55",https://www.facebook.com/reel/983303897947934/,"Thước phim",,"Trọn đời",25.401,6,-3.4x,0,0,8979,142,11,111,18,13,222030.165,8657,9794
122124146361206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí quyết dưỡng da của nhiều ngôi sao mà bạn nên biết #laohoa #chonglaohoa 
#tiensidanghuuphuc #lamdepkhongkho #bacsiphuc",192,"05/21/2026 22:21",https://www.facebook.com/reel/27147443121554499/,"Thước phim",,"Trọn đời",40.341,104,+7.3x,0,0,147191,3974,638,2590,704,688,5795036.68,146267,164775
122124173151206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Trà atisô có thực sự có tác dụng chống lão hóa ?
 #laohoa #chonglaohoa 
#tiensidanghuuphuc #bacsiphuc
#uongtra",200,"05/22/2026 04:02",https://www.facebook.com/reel/1018604047256125/,"Thước phim",,"Trọn đời",15.51,0,-6.3x,0,0,6117,60,10,53,4,4,91729.812,5812,6386
122124211941206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","70% phụ nữ Việt từng bị nám ít nhất một lần, đặc biệt sau sinh hoặc bước qua tuổi 35. 
#laohoada #chonglaohoa 
#tiensidanghuuphuc #namda",130,"05/22/2026 09:14",https://www.facebook.com/reel/1175259424705421/,"Thước phim",,"Trọn đời",15.777,0,-4.9x,0,0,5836,54,2,38,12,5,89377.225,5630,6236
122124243207206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vì sao chăm da đều đặn mà da vẫn khô và sạm? Chắc hẳn do 1 chất trong cơ thể bạn mà bạn chưa biết cách bổ sung! #tiensidanghuuphuc #chonglaohoa #Ha #laohoada #winona #baovehangraoda",193,"05/22/2026 19:57",https://www.facebook.com/reel/2246714856091185/,"Thước phim",,"Trọn đời",15.15,1,-3.2x,0,0,4288,43,5,34,7,4,63042.055,4058,4498
122124264873206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Omega-3 loại nào là tốt nhất và nguồn gốc từ đâu? #tiensidanghuuphuc #omega3 #taobien #chonglaohoa #bosungomega3",153,"05/23/2026 00:53",https://www.facebook.com/reel/1330681582342457/,"Thước phim",,"Trọn đời",19.318,0,-1x,0,0,3139,50,1,43,2,4,59115.245,2933,3546
122124288357206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Bí quyết chống lão hóa của các hoàng hậu trung hoa thời xưa! #tamthat #tiensidanghuuphuc #chonglaohoa #dapmatna #cachdungtamthat",121,"05/23/2026 05:31",https://www.facebook.com/reel/1006212895239929/,"Thước phim",,"Trọn đời",11.939,0,-1.7x,0,0,653,16,1,15,1,0,7474.417,597,977
122123503989206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Vì sao tóc rụng ngày càng nhiều dù bạn vẫn còn rất trẻ?
#tiensidanghuuphuc #chonglaohoa  #chongviem
#RungToc #ChamSocToc #SucKhoeNangToc",166,"05/15/2026 17:17",https://www.facebook.com/reel/839505822537280/,"Thước phim",,"Trọn đời",17.502,3,-5.3x,0,0,9402,152,7,105,24,22,158465.833,8922,9895
122123543961206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/16/2026 03:11",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid02d3chYutK3amEjbfHuQdwy3miEW8iGUz1s2z7ax5aXzTZJQhgcFHRbcnXCgv5bTQel,"Nội dung",,"Trọn đời",,0,--,0,0,657,11,1,12,0,0,,643,1018
