"ID bài viết","ID Trang","Tên Trang","Tiêu đề","Thời lượng (giây)","Thời gian đăng","Liên kết vĩnh viễn","Loại bài viết","Bình luận về dữ liệu",Ngày,"Bình luận","Lượt phân phối","Lượt hiển thị","Lượt tương tác","Số người theo dõi thực","Cảm xúc","Lượt lưu","Lượt chia sẻ","Người xem","Lượt xem","Số Giây xem trung bình","Số Giây xem"
122123245953206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Tuổi sinh học của bạn có thể cải thiện sau 8 tuần.   #tiensidanghuuphuc #chonglaohoa #chamsocsuckhoe #stressoxihoa",206,"05/13/2026 07:36",https://www.facebook.com/reel/844591315381238/,"Thước phim",,"Trọn đời",8,+0.1x,17389,358,14,203,68,88,16645,18692,26.59,442124.603
122123215239206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Thận đang âm thầm suy yếu nhưng cơ thể bạn có thể chưa nhận ra.
#SucKhoeThan
#ChongLaoHoa
#Than
#Tiensidanghuuphuc
#ChamSocSucKhoe",173,"05/13/2026 00:55",https://www.facebook.com/reel/1650436412938192/,"Thước phim",,"Trọn đời",4,-5.3x,2331,54,0,40,4,7,2194,2573,22.499,51749.876
122123199069206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Sự thật đằng sau tem “Dermatologically Tested”: Vì sao da bạn vẫn kích ứng?
#KiemNghiemDaLieu
#ChamSocDa
#DaNhayCam
#tiensidanghuuphuc
#chonglaohoa",172,"05/12/2026 19:35",https://www.facebook.com/reel/881691221614840/,"Thước phim",,"Trọn đời",0,-15.7x,5753,25,-1,23,3,1,5342,5931,5.981,33802.089
122123152605206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Dùng retinol nhưng da vẫn lão hoá? Thực chất điều âm thầm diễn ra bên trong da là áp lực sinh học - nguyên nhân chủ yếu mà ít người biết #tiensidanghuuphuc #PhucHoiHangRaoDa #anhnang #stressoxihoa #chonglaohoa #HangRaoBaoVeDa",249,"05/12/2026 06:42",https://www.facebook.com/reel/991510370075609/,"Thước phim",,"Trọn đời",3,-5.7x,1793,67,3,49,12,4,1679,2076,33.865,61195.385
122123098071206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","3 dược liệu phục hồi da ở tầng sâu mà ít ai nhắc tới! #tiensidanghuuphuc #PhucHoiHangRaoDa #chonglaohoa #phuchoisau #HangRaoBaoVeDa",181,"05/12/2026 00:11",https://www.facebook.com/reel/2124549175008353/,"Thước phim",,"Trọn đời",8,-1.4x,8714,,6,110,27,31,8397,9386,20.01,169988.581
122123097687206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Chỉ sau vài tháng sau sinh làn da có thể lão hóa? #tiensidanghuuphuc #PhucHoiHangRaoDa #chonglaohoa #sausinh #thuckhuya",182,"05/11/2026 19:06",https://www.facebook.com/reel/2174740850015019/,"Thước phim",,"Trọn đời",1,-6.4x,5753,68,0,39,18,11,5653,6080,11.389,64533.971
122123030913206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Sự thật về chống lão hóa: Da càng yếu, càng không nên lạm dụng treatment.
#treatment
#phuchoihangraoda
#collagen
#tiensidanghuuphuc #chonglaohoa",180,"05/11/2026 06:46",https://www.facebook.com/reel/1695912514757810/,"Thước phim",,"Trọn đời",1,-5.7x,5662,51,0,35,10,7,5661,6013,13.842,77422.039
122123005821206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Da nhạy cảm có nên tẩy tế bào chết không?
#tiensidanghuuphuc #chonglaohoa 
#taytebaochet
#danhaycam
#phuchoihangraoda",163,"05/11/2026 01:24",https://www.facebook.com/reel/1000488712331600/,"Thước phim",,"Trọn đời",2,-11x,5687,34,0,30,3,1,5430,5993,10.128,57186.549
122122984089206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Sự khác biệt giữa làn da của người Châu Á và Châu Âu.
#danhaycam
#hangraobaoveda
#tiensidanghuuphuc
#chonglaohoa",172,"05/10/2026 19:24",https://www.facebook.com/reel/2402057393622286/,"Thước phim",,"Trọn đời",4,-2x,5653,163,2,111,13,36,5340,6191,27.637,152947.543
122122935765206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Một bữa ăn muộn có thể âm thầm làm rối loạn giấc ngủ và tốc độ lão hóa tế bào?
#tiensidanghuuphuc
#hangraobaoveda
#chonglaohoa #ankhuya #tuthucbao",180,"05/10/2026 07:39",https://www.facebook.com/reel/1493546995737953/,"Thước phim",,"Trọn đời",3,-3.5x,6895,129,6,97,19,15,6648,7438,18.45,123559.983
122122903371206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Khả năng tự phục hồi ngoạn mục của làn da nhiễm Corticoid.
#danhiemcorticoid
#danhaycam
#tiensidanghuuphuc
#hangraobaoveda
#chonglaohoa",196,"05/10/2026 00:47",https://www.facebook.com/reel/992569210414940/,"Thước phim",,"Trọn đời",2,-11.9x,5925,36,2,28,6,2,5607,6144,7.603,44307.713
122122886733206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi",,0,"05/09/2026 20:33",https://www.facebook.com/tiensidanghuuphuc/posts/pfbid02SCEY6ax8TLae6QgkW9bUwLYhhTvERgJ1iyyr7ERaZ1JYWrnUkanKdn45JT7xeCVSl,"Nội dung",,"Trọn đời",0,--,742,9,-2,10,0,0,706,1274,,
122122885761206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Lình trình 24 giờ chống lão hoá mà bạn có thể biết.  #tiensidanghuuphuc #chonglaohoa #chongviem #dinđinhuongkhoaho",188,"05/09/2026 20:18",https://www.facebook.com/reel/961202686723115/,"Thước phim",,"Trọn đời",0,-1.9x,9729,167,-2,110,25,36,8976,10231,18.825,176567.959
122122781463206079,61586182371437,"Tiến sĩ Đặng Hữu Phúc - Khoa Học Phục Hồi","Mỡ nội tạng không chỉ làm bụng to mà đang khiến bạn lão hóa nhanh hơn mỗi ngày.
#tiensidanghuuphuc #chonglaohoa #chongviem 
#MoNoiTang
#DuongHuyet
#DinhDuongKhoaHoc",154,"05/09/2026 06:25",https://www.facebook.com/reel/1123125444213401/,"Thước phim",,"Trọn đời",3,-2.4x,16233,166,13,124,28,19,15861,16912,15.238,237968.039
